dataset,model,cls,images,gt,tp,fp,fn,precision,recall,f1,miss_rate,object_success_rate,ap50,ap75,map50_95,average_inference_ms,fps
fasdd,original_sam3,fire,1380,6049,1907,11097,4142,0.14664718548139033,0.3152587204496611,0.20017844958799139,0.6847412795503389,0.3152587204496611,0.12535956384967478,0.02409213317917529,0.044956495385153374,1415.77004983813,0.7063293930496224
fasdd,original_sam3,smoke,2441,2877,1804,2302,1073,0.4393570384802728,0.627042057698992,0.5166833739080624,0.372957942301008,0.627042057698992,0.5006884550656299,0.26615647745135707,0.27340130623525605,1415.77004983813,0.7063293930496224
fasdd,finetuned_sam3,fire,2775,6049,197,2578,5852,0.07099099099099099,0.03256736650686064,0.04465095194922937,0.9674326334931393,0.03256736650686064,0.009917650360957748,0.0025615918358092397,0.0032019402165793243,1316.4446595782135,0.7596217529724327
fasdd,finetuned_sam3,smoke,3978,2877,1193,2783,1684,0.30005030181086517,0.4146680570038234,0.3481686852473369,0.5853319429961765,0.4146680570038234,0.36929602629496455,0.11756414570492539,0.16856427245650116,1316.4446595782135,0.7596217529724327
