layer,precision,recall,f1,ap50,mean_gt_count,mean_predicted_count,tp,fp,fn,unit_count
1,0.7883771929824561,0.7616525423728814,0.7747844827586208,0.77993937281566,18.88,18.24,719,193,225,50
2,0.58,0.6444444444444445,0.6105263157894737,0.5407899302227012,3.6,4.0,116,84,64,50
3,0.3614457831325301,0.1986754966887417,0.25641025641025644,0.26469773936388086,3.02,1.66,30,53,121,50
