layer,precision,recall,f1,ap50,mean_gt_count,mean_predicted_count,tp,fp,fn,unit_count
1,0.8299776286353467,0.7860169491525424,0.8073993471164308,0.8168207428037915,18.88,17.88,742,152,202,50
2,0.5769230769230769,0.3333333333333333,0.4225352112676057,0.4637444299655599,3.6,2.08,60,44,120,50
3,0.375,0.09933774834437085,0.1570680628272251,0.09567416055211007,3.02,0.8,15,25,136,50
