dataset,model,cls,images,gt,tp,fp,fn,precision,recall,f1,miss_rate,object_success_rate,ap50,ap75,map50_95,average_inference_ms,fps
fasdd,original_sam3,fire,36,153,50,250,103,0.16666666666666666,0.32679738562091504,0.22075055187637965,0.673202614379085,0.32679738562091504,0.009900990099009901,0.0099009900990099,0.006257382495006257,1717.6472848004778,0.5821917042276582
fasdd,original_sam3,smoke,53,71,41,54,30,0.43157894736842106,0.5774647887323944,0.4939759036144578,0.4225352112676056,0.5774647887323944,0.01792881990901793,0.015530964861192001,0.012111543951658537,1717.6472848004778,0.5821917042276582
fasdd,finetuned_sam3,fire,36,153,67,111,86,0.37640449438202245,0.43790849673202614,0.40483383685800606,0.5620915032679739,0.43790849673202614,0.014811237221283103,0.009900990099009901,0.010392014811237221,1433.0855914606946,0.6977950277071271
fasdd,finetuned_sam3,smoke,48,71,57,19,14,0.75,0.8028169014084507,0.7755102040816326,0.19718309859154928,0.8028169014084507,0.019801980198019802,0.018387553041018388,0.0162191158325559,1433.0855914606946,0.6977950277071271
