dataset,model,cls,images,gt,tp,fp,fn,precision,recall,f1,miss_rate,object_success_rate,ap50,ap75,map50_95,average_inference_ms,fps
visdrone,original_sam3,car,1557,28074,20473,14271,7601,0.5892528206309003,0.7292512645152098,0.6518195421694419,0.27074873548479017,0.7292512645152098,0.6704787441867445,0.4492156609003209,0.40955066073306867,2565.4341302035723,0.389797573918083
visdrone,original_sam3,person,1321,27382,7352,8105,20030,0.4756421039011451,0.2684975531370974,0.34323863768995544,0.7315024468629027,0.2684975531370974,0.22520000840900106,0.04177186302516289,0.08376779192671104,2565.4341302035723,0.389797573918083
visdrone,finetuned_sam3,car,1584,28074,0,1388,28074,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1408.8133631404964,0.7098172307017457
visdrone,finetuned_sam3,person,1547,27382,0,1328,27382,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1408.8133631404964,0.7098172307017457
