Model,Layer,Prompt scope,Precision,Recall,F1,AP50,Mean GT count,Mean predicted count
Original SAM 3,1,Category,0.7883771929824561,0.7616525423728814,0.7747844827586208,0.77993937281566,18.88,18.24
Original SAM 3,2,Category + attribute,0.58,0.6444444444444445,0.6105263157894737,0.5407899302227012,3.6,4.0
Original SAM 3,3,Attribute + spatial/relational description,0.3614457831325301,0.1986754966887417,0.25641025641025644,0.26469773936388086,3.02,1.66
Adapted SAM 3 with replay,1,Category,0.8299776286353467,0.7860169491525424,0.8073993471164308,0.8168207428037915,18.88,17.88
Adapted SAM 3 with replay,2,Category + attribute,0.5769230769230769,0.3333333333333333,0.4225352112676057,0.4637444299655599,3.6,2.08
Adapted SAM 3 with replay,3,Attribute + spatial/relational description,0.375,0.09933774834437085,0.1570680628272251,0.09567416055211007,3.02,0.8
