dataset,model,cls,images,gt,tp,fp,fn,precision,recall,f1,miss_rate,object_success_rate,ap50,ap75,map50_95,average_inference_ms,fps
fasdd,original_sam3,fire,1380,6049,1907,11097,4142,0.14664718548139033,0.3152587204496611,0.20017844958799139,0.6847412795503389,0.3152587204496611,0.12535956384967478,0.02409213317917529,0.044956495385153374,1415.77004983813,0.7063293930496224
fasdd,original_sam3,smoke,2441,2877,1804,2302,1073,0.4393570384802728,0.627042057698992,0.5166833739080624,0.372957942301008,0.627042057698992,0.5006884550656299,0.26615647745135707,0.27340130623525605,1415.77004983813,0.7063293930496224
fasdd,finetuned_sam3,fire,1344,6049,3386,4804,2663,0.4134310134310134,0.5597619441229955,0.4755951962918744,0.4402380558770045,0.5597619441229955,0.4551426658464084,0.17130754497326098,0.21112673305209648,1326.670323654873,0.753766766445094
fasdd,finetuned_sam3,smoke,2170,2877,2290,834,587,0.7330345710627401,0.7959680222453945,0.7632061323112814,0.2040319777546055,0.7959680222453945,0.7657379716524927,0.5074933521286158,0.5026332598588642,1326.670323654873,0.753766766445094
