Model,Tiny F1,Tiny Recall,Small F1,Small Recall,Regular F1,Regular Recall,AP50,FP/image,Micro AP50,Threshold
YOLO,0.26297260802469136,0.22321373748951062,0.3475776293121559,0.5055925676914614,0.24860187201977985,0.5954596728708403,0.19646185537869465,14.732298136645962,0.28957530061932346,0.06027992069721222
YOLO-World,0.2929818214705616,0.2652121410589656,0.38797937601144106,0.6300959599046513,0.2689979475721597,0.7299774393683023,0.2723690851559977,16.89503105590062,0.35260817356229796,0.052561935037374496
Original SAM 3,0.4992741099204978,0.4434392844716429,0.5880671358960476,0.8298392518794695,0.43084801725009264,0.9015792442188382,0.5943441998894224,10.15527950310559,0.5917585538563859,0.48943960666656494
Adapted SAM 3 without replay,0.01665099535233592,0.06342741357784645,0.022341278308660274,0.23678259275105434,0.007602888601558407,0.17287084038353073,0.011792397941840567,210.7248447204969,0.0236805722156451,2.187017789090362e-10
Adapted SAM 3 with replay,0.4999278331057299,0.4607953498843611,0.5653678412743913,0.8438359513477172,0.40358995062265157,0.916243654822335,0.590615329736099,11.690683229813665,0.5957995557109189,0.4773983955383301
